channel_id,playlist_id,playlist_name
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuLAv4-FmaizomfGN_VuxQEd,Life in Delhi
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuJft-xdRupA6T-X6Bjxm3hZ,Joining as ASO
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuLZ0zJAI-bLT4I_a566bpsA,Profit & Loss- Complete maths course (Rakesh Yadav +Previous year)
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuKw8FC6pC8vlUStxUK1e5_4,Percentage- Complete maths course (Rakesh Yadav+ Previous Year)
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuIIrboDmaTZaZdpO1KOTT_y,SSC SUCCESS BLUEPRINT
UCXe8zzwpLxqk93TbHPFN1dw,PL_BdCbBuAiuLdkir-Hchu08FqVfIRm6aY,Delhi to Dubai Travel Series
